Price,Address,Prop_type,Size,Bath,Bed,City,Division
350000.0," Porto    Maia, Castêlo da Maia  ",House,233.0,4.0,4.0,Porto    Maia, Castêlo da Maia  
98000.0," Porto    Paredes, Lordelo  ",House,60.0,1.0,2.0,Porto    Paredes, Lordelo  
300000.0," Porto    Felgueiras, Vila Fria e Vizela (São Jorge)  ",House,642.0,3.0,4.0,Porto    Felgueiras, Vila Fria e Vizela (São Jorge)  
199900.0," Porto    Amarante, Telões  ",House,188.0,3.0,3.0,Porto    Amarante, Telões  
235000.0," Porto    Marco de Canaveses, Tabuado  ",House,200.0,2.0,3.0,Porto    Marco de Canaveses, Tabuado  
250000.0," Porto    Gondomar, Rio Tinto  ",House,120.0,2.0,5.0,Porto    Gondomar, Rio Tinto  
49000.0," Porto    Penafiel, Boelhe  ",House,455.0,0.0,3.0,Porto    Penafiel, Boelhe  
500000.0," Porto    Gondomar, Rio Tinto  ",House,96.0,0.0,3.0,Porto    Gondomar, Rio Tinto  
195000.0," Porto    Valongo, Ermesinde  ",House,134.0,2.0,3.0,Porto    Valongo, Ermesinde  
135000.0," Porto    Porto, Bonfim  ",House,41.0,0.0,1.0,Porto    Porto, Bonfim  
12500.0," Porto    Baião, Gestaçô  ",House,45.0,0.0,1.0,Porto    Baião, Gestaçô  
375000.0," Porto    Valongo, Ermesinde  ",House,208.0,4.0,6.0,Porto    Valongo, Ermesinde  
380000.0," Porto    Gondomar, Fânzeres e São Pedro da Cova  ",House,207.0,3.0,4.0,Porto    Gondomar, Fânzeres e São Pedro da Cova  
338500.0," Porto    Matosinhos, Custóias, Leça do Balio e Guifões  ",House,158.0,2.0,2.0,Porto    Matosinhos, Custóias
800000.0," Porto    Amarante, Gondar  ",House,351.0,5.0,3.0,Porto    Amarante, Gondar  
125000.0," Porto    Lousada, Macieira  ",House,86.0,1.0,3.0,Porto    Lousada, Macieira  
590000.0," Porto    Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,245.0,3.0,4.0,Porto    Gondomar, Gondomar (São Cosme)
190000.0," Porto    Vila Nova de Gaia, Serzedo e Perosinho  ",House,651.0,4.0,7.0,Porto    Vila Nova de Gaia, Serzedo e Perosinho  
280000.0," Porto    Matosinhos, São Mamede de Infesta e Senhora da Hora  ",House,108.0,2.0,3.0,Porto    Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000.0," Porto    Vila Nova de Gaia, Arcozelo  ",House,50.0,2.0,2.0,Porto    Vila Nova de Gaia, Arcozelo  
350000.0," Porto    Maia, Castêlo da Maia  ",House,233.0,4.0,4.0,Porto    Maia, Castêlo da Maia  
98000.0," Porto    Paredes, Lordelo  ",House,60.0,1.0,2.0,Porto    Paredes, Lordelo  
