Price,Size,Bath,Bed,City_Lisboa,City_Matosinhos,City_Oeiras,City_Other,City_Porto,City_Sintra,City_Vila Nova de Gaia
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
980,46,1,1,1,0,0,0,0,0,0
1300,70,1,2,1,0,0,0,0,0,0
750,44,1,1,0,0,0,0,0,0,0
2850,190,3,4,0,0,1,0,0,0,0
1200,81,2,2,1,0,0,0,0,0,0
950,57,1,1,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
1900,139,2,3,0,0,0,0,0,0,0
850,55,1,2,1,0,0,0,0,0,0
2350,112,2,2,1,0,0,0,0,0,0
1500,65,1,2,1,0,0,0,0,0,0
1700,95,2,2,1,0,0,0,0,0,0
800,77,1,2,0,0,0,0,0,1,0
1600,91,2,2,1,0,0,0,0,0,0
