Price,Prop_type,Size,Bath,Bed,City,Division
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
195000,1,134,2,3,Valongo, Ermesinde  
375000,1,208,4,6,Valongo, Ermesinde  
380000,1,207,3,4,Gondomar, Fânzeres e São Pedro da Cova  
338500,1,158,2,2,Matosinhos, Custóias
125000,1,86,1,3,Lousada, Macieira  
590000,1,245,3,4,Gondomar, Gondomar (São Cosme)
280000,1,108,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000,1,50,2,2,Vila Nova de Gaia, Arcozelo  
350000,1,233,4,4,Maia, Castêlo da Maia  
98000,1,60,1,2,Paredes, Lordelo  
199900,1,188,3,3,Amarante, Telões  
235000,1,200,2,3,Marco de Canaveses, Tabuado  
250000,1,120,2,5,Gondomar, Rio Tinto  
