Price,Prop_type,Size,Bath,Bed,Term,City,Division
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
1900,2,139,2,3.0,/ Monthly,Cascais, São Domingos de Rana  
850,2,55,1,2.0,/ Monthly,Lisboa, Olivais  
2350,2,112,2,2.0,/ Monthly,Lisboa, Arroios  
1500,2,65,1,2.0,/ Monthly,Lisboa, Alvalade  
1700,2,95,2,2.0,/ Monthly,Lisboa, Alvalade  
800,2,77,1,2.0,/ Monthly,Sintra, Queluz e Belas  
1600,2,91,2,2.0,/ Monthly,Lisboa, Carnide  
980,2,46,1,1.0,/ Monthly,Lisboa, Santo António  
1300,2,70,1,2.0,/ Monthly,Lisboa, Penha de França  
750,2,44,1,1.0,/ Monthly,Cascais, Carcavelos e Parede  
2850,2,190,3,4.0,/ Monthly,Oeiras, Oeiras e São Julião da Barra
1200,2,81,2,2.0,/ Monthly,Lisboa, Beato  
6000,2,257,5,6.0,/ Monthly,Lisboa, Santo António  
950,2,57,1,1.0,/ Monthly,Cascais, Cascais e Estoril  
