Size,Bath,Bed,City_Gondomar,City_Guimarães,City_Other,City_Vila Nova de Gaia,City_   Cascais,City_   Lisboa,City_   Sintra,good_prop
60,1,2,0,0,1,0,0,0,0,1
188,3,3,0,0,1,0,0,0,0,1
200,2,3,0,0,1,0,0,0,0,1
120,2,5,1,0,0,0,0,0,0,0
134,2,3,0,0,1,0,0,0,0,1
208,4,6,0,0,1,0,0,0,0,1
207,3,4,1,0,0,0,0,0,0,1
158,2,2,0,0,1,0,0,0,0,1
86,1,3,0,0,1,0,0,0,0,1
108,2,3,0,0,1,0,0,0,0,0
50,2,2,0,0,0,1,0,0,0,0
60,1,2,0,0,1,0,0,0,0,1
188,3,3,0,0,1,0,0,0,0,1
200,2,3,0,0,1,0,0,0,0,1
120,2,5,1,0,0,0,0,0,0,0
134,2,3,0,0,1,0,0,0,0,1
208,4,6,0,0,1,0,0,0,0,1
207,3,4,1,0,0,0,0,0,0,1
158,2,2,0,0,1,0,0,0,0,1
86,1,3,0,0,1,0,0,0,0,1
108,2,3,0,0,1,0,0,0,0,0
50,2,2,0,0,0,1,0,0,0,0
60,1,2,0,0,1,0,0,0,0,1
188,3,3,0,0,1,0,0,0,0,1
200,2,3,0,0,1,0,0,0,0,1
120,2,5,1,0,0,0,0,0,0,0
134,2,3,0,0,1,0,0,0,0,1
208,4,6,0,0,1,0,0,0,0,1
207,3,4,1,0,0,0,0,0,0,1
158,2,2,0,0,1,0,0,0,0,1
86,1,3,0,0,1,0,0,0,0,1
108,2,3,0,0,1,0,0,0,0,0
50,2,2,0,0,0,1,0,0,0,0
60,1,2,0,0,1,0,0,0,0,1
188,3,3,0,0,1,0,0,0,0,1
200,2,3,0,0,1,0,0,0,0,1
120,2,5,1,0,0,0,0,0,0,0
134,2,3,0,0,1,0,0,0,0,1
208,4,6,0,0,1,0,0,0,0,1
207,3,4,1,0,0,0,0,0,0,1
158,2,2,0,0,1,0,0,0,0,1
86,1,3,0,0,1,0,0,0,0,1
108,2,3,0,0,1,0,0,0,0,0
50,2,2,0,0,0,1,0,0,0,0
60,1,2,0,0,1,0,0,0,0,1
188,3,3,0,0,1,0,0,0,0,1
200,2,3,0,0,1,0,0,0,0,1
120,2,5,1,0,0,0,0,0,0,0
134,2,3,0,0,1,0,0,0,0,1
208,4,6,0,0,1,0,0,0,0,1
