Price,Prop_type,Size,Bath,Bed,City,Division
350000.0,1,233.0,4.0,4.0,Maia, Castêlo da Maia  
98000.0,1,60.0,1.0,2.0,Paredes, Lordelo  
300000.0,1,642.0,3.0,4.0,Felgueiras, Vila Fria e Vizela (São Jorge)  
199900.0,1,188.0,3.0,3.0,Amarante, Telões  
235000.0,1,200.0,2.0,3.0,Marco de Canaveses, Tabuado  
250000.0,1,120.0,2.0,5.0,Gondomar, Rio Tinto  
49000.0,1,455.0,0.0,3.0,Penafiel, Boelhe  
500000.0,1,96.0,0.0,3.0,Gondomar, Rio Tinto  
195000.0,1,134.0,2.0,3.0,Valongo, Ermesinde  
135000.0,1,41.0,0.0,1.0,Porto, Bonfim  
12500.0,1,45.0,0.0,1.0,Baião, Gestaçô  
375000.0,1,208.0,4.0,6.0,Valongo, Ermesinde  
380000.0,1,207.0,3.0,4.0,Gondomar, Fânzeres e São Pedro da Cova  
338500.0,1,158.0,2.0,2.0,Matosinhos, Custóias
800000.0,1,351.0,5.0,3.0,Amarante, Gondar  
125000.0,1,86.0,1.0,3.0,Lousada, Macieira  
590000.0,1,245.0,3.0,4.0,Gondomar, Gondomar (São Cosme)
190000.0,1,651.0,4.0,7.0,Vila Nova de Gaia, Serzedo e Perosinho  
280000.0,1,108.0,2.0,3.0,Matosinhos, São Mamede de Infesta e Senhora da Hora  
280000.0,1,50.0,2.0,2.0,Vila Nova de Gaia, Arcozelo  
350000.0,1,233.0,4.0,4.0,Maia, Castêlo da Maia  
98000.0,1,60.0,1.0,2.0,Paredes, Lordelo  
300000.0,1,642.0,3.0,4.0,Felgueiras, Vila Fria e Vizela (São Jorge)  
199900.0,1,188.0,3.0,3.0,Amarante, Telões  
235000.0,1,200.0,2.0,3.0,Marco de Canaveses, Tabuado  
250000.0,1,120.0,2.0,5.0,Gondomar, Rio Tinto  
49000.0,1,455.0,0.0,3.0,Penafiel, Boelhe  
500000.0,1,96.0,0.0,3.0,Gondomar, Rio Tinto  
195000.0,1,134.0,2.0,3.0,Valongo, Ermesinde  
135000.0,1,41.0,0.0,1.0,Porto, Bonfim  
12500.0,1,45.0,0.0,1.0,Baião, Gestaçô  
375000.0,1,208.0,4.0,6.0,Valongo, Ermesinde  
380000.0,1,207.0,3.0,4.0,Gondomar, Fânzeres e São Pedro da Cova  
338500.0,1,158.0,2.0,2.0,Matosinhos, Custóias
800000.0,1,351.0,5.0,3.0,Amarante, Gondar  
125000.0,1,86.0,1.0,3.0,Lousada, Macieira  
590000.0,1,245.0,3.0,4.0,Gondomar, Gondomar (São Cosme)
190000.0,1,651.0,4.0,7.0,Vila Nova de Gaia, Serzedo e Perosinho  
